Index,Section_Title,Content
40, DS5-4 S2.1.4.4,"2.1.4.4 For transformers with a bladder in the conservator tank, check the bladder for leaks once every two years. This is done by swabbing the inside of the bladder to check for oil, and also checking the oil screen and DGA results for indications of bladder leaks. Replace leaking bladders as soon as possible.  The bladder in a conservator tank generally has a 10-year life. A leaking bladder will allow oxygen and moisture to enter the transformer, which accelerates its aging process. Proper maintenance of the bladder is a critical part of a transformer life management program."
41, DS5-4 S2.1.4.5,"2.1.4.5 Test the electrical protection system (fuses, circuit breakers, batteries, surge arrestor, and electrical and mechanical relays such as sudden pressure relay) in accordance with Data Sheet 5-19, Switchgear and Circuit Breakers."
42, DS5-4 S2.1.5,2.1.5 Operation
43, DS5-4 S2.1.5.1,"2.1.5.1 Install, operate, and maintain transformers in accordance with the manufacturers’ recommendations."
44, DS5-4 S2.1.5.2,"2.1.5.2 Follow the manufacturer’s instructions for filling new transformers with oil. Check all oil to ensure it meets the specifications for new oil. In particular, make sure the moisture content, PCB content, and corrosive sulfur content are within limits."
45, DS5-4 S2.1.5.3,"2.1.5.3 Immediately after commissioning, and periodically for several days after commissioning, inspect the transformer thoroughly for indications of overheating, oil leaks, abnormal vibration, abnormal noise, and malfunction. Verify proper operation and calibration of each monitoring and protective device. Perform benchmark tests as recommended in Section 2.1.2.1."
46, DS5-4 S2.1.5.3.1,"2.1.5.3.1 At a minimum, perform dissolved-gas-in-oil analysis 18 to 24 hours after energization, one month later, and six months later to determine if the transformer has any infant mortality problems."
47, DS5-4 S2.1.5.4,"2.1.5.4 Do not overload the transformer. If short-term overloading is required for emergency purposes, perform studies to determine the economic, loss of life, and bubbling risks associated with overloading. Consider the use of a dynamic transformer monitoring and control system as described in Section 2.1.4.3, or a cooling system upgrade if frequent overloading of the transformer is expected."
48, DS5-4 S2.1.5.5,"2.1.5.5 Do not reenergize transformers after the operation of protective devices until it has been determined that the transformer has not suffered internal damage and any external faults have been removed. At a minimum, investigate the operation of the protective device and perform a dissolved gas analysis (DGA) test to determine if the transformer has suffered internal damage. Additional testing may be needed depending on the results of the DGA test (see Section 2.1.2)."
49, DS5-4 S2.1.5.5.1,2.1.5.5.1 Exercise care when taking a DGA sample immediately following a fault. It may be prudent to wait several hours after the fault because fault gases may not have had enough time to migrate through the bulk of the oil. Taking a DGA sample too early can produce misleading results.
50, DS5-4 S2.1.5.5.2,2.1.5.5.2 Record the event and any subsequent tests results.
51, DS5-4 S2.1.5.6,"2.1.5.6 Do not perform online insulating fluid processing, such as degassing or regenerating, on a routine basis or without a proper evaluation of the need for and consequences of processing the insulating fluid."
52, DS5-4 S2.1.5.6.1,"2.1.5.6.1 Take the following precautions when insulating fluid is processed or replaced:  A. Perform DGA and furan analysis before the insulating fluid is processed or replaced to preserve data about the transformer’s condition. Repeat DGA analysis immediately after the fluid has been processed or replaced. Perform both DGA and furan analysis about six months after the fluid has been processed or replaced.  B. Take proper precautions when handling insulating fluid with high levels of combustible gas as this may present an explosion risk.  C. Check replacement mineral oil for corrosive sulfur and PCB contamination.  D. Ensure the equipment used to process the insulating fluid has been thoroughly cleaned to prevent PCB cross-contamination.  E. Follow the manufacturer’s instructions regarding insulating fluid processing or replacement to prevent moisture contamination of the transformer’s solid insulation. For example, if the transformer has to be opened, most manufacturers limit this time to no more than 2 hours and recommend dry air be circulated into the transformer at a specified flow rate.  F. Replace all fluid-immersed tank gaskets when insulating fluid is replaced, regardless of the type of oil.  G. When ester-based fluid is used to replace mineral oil in power transformers with voltage class of 69 kV or higher, consult with the transformer’s OEM for a design review for fitness of use."
53, DS5-4 S2.1.6,2.1.6 Contingency Planning
54, DS5-4 S2.1.6.1,2.1.6.1 Equipment Contingency Planning
55, DS5-4 S2.1.6.1.1,"2.1.6.1.1 When a transformer breakdown (forced outage) results in an unacceptable exposure, develop and maintain an equipment contingency plan. A viable equipment contingency planning process will include an evaluation of the need for sparing and/or a plan to reduce the exposure, where appropriate."
56, DS5-4 S2.1.6.1.2,"2.1.6.1.2 Create a transformer contingency plan per Data Sheet 9-0, Asset Integrity, and include the following elements:  • OEM design information for the transformer  • The process and procedures needed for removal, dismantling, transportation, availability and installation of the transformers and impacted equipment of long lead time.  • A review of any service contracts with OEM and/or vendors to identify duration of delivery of transformers and impacted components  • OEM and/or third-party vendor review to determine the optimum spare strategy  • Assessment of collateral damage to other equipment."
57, DS5-4 S2.1.6.2,2.1.6.2 Storage and Maintenance of Spare Transformers
58, DS5-4 S2.1.6.2.1,"2.1.6.2.1 Store transformers in accordance with manufacturer’s instructions and protect against physical damage, moisture, dirt, and other contaminants to maintain viability."
59, DS5-4 S2.1.6.2.2,"2.1.6.2.2 Store transformers in a location not subject to fire, natural hazards, or equipment exposures."
60, DS5-4 S2.1.6.2.3,2.1.6.2.3 Store liquid-immersed transformers with oil filled if the storage time will be longer than 6 months.
61, DS5-4 S2.1.6.2.4,2.1.6.2.4 Connect the control cabinet heaters to a power supply and keep them energized to prevent condensation.
62, DS5-4 S2.1.6.2.5,"2.1.6.2.5 When a bushing is stored as an accessary, store it in its shipping crate with its upper part elevated from horizontal."
63, DS5-4 S2.1.6.2.6,2.1.6.2.6 Perform oil quality analysis on liquid-filled spare transformers on an annual basis.
64, DS5-4 S2.1.6.2.7,"2.1.6.2.7 Visually inspect spare transformers at the same frequency as the in-service transformers to check for problems such as low oil levels, water saturated desiccant, leaks, and other abnormal conditions."
65, DS5-4 S2.2,2.2 Fire Protection for Indoor Transformers
66, DS5-4 S2.2.1,2.2.1 Construction and Location
67, DS5-4 S2.2.1.1 F2 T4,"2.2.1.1 If transformers are to be located indoors, provide a detached dedicated building or room with location and construction safeguards as described in Figure 2 and Table 4. If transformers are to be located within cut-off rooms for exposure protection, ensure the cooling characteristics of the transformer are not compromised.  Main Building (plan view)  1 - Detached building  2 - Outside room with direct access from outside only  3,4 - Inside room with direct access from outside only  (See Table 4 for construction features)  [file:///figure-5-4-2.png] Fig. 2. Locations for transformer buildings and rooms  Table 4. Recommended Construction for Transformer Buildings and Rooms  | Transformer Type | Fluid Type | Fluid Volume in Largest Transformer | Room or Building Fire Rating a | Fire Protection for Transformer Liquids a | | ---------------- | ---------- | ----------------------------------- | ------------------------------ | ----------------------------------------- | | Dry or gas insulated b | Not applicable | Not applicable | Noncombustible | None c | | FM Approved or equivalent d | FM Approved liquids | Any e | Noncombustible | None c | | Non-Approved Transformer | FM Approved liquids | Any e | One-hour fire-rated | None c | |  | | | Noncombustible | Per Section 2.2.3 f | |  |  Non-Approved liquids | Less than 100 gal (380 L) e | One-hour fire-rated | None c | |  | |  More than 100 gal (380 L) e | Three-hour fire-rated with subdivision if multiple transformers g | None c | |  | | | Three-hour fire-rated with multiple transformers and no subdivision | Per Section 2.2.3 f | |  | | | One-hour fire-rated with single transformer | |  a Transformers in Location 1 may also be treated as outdoor transformers in accordance with Section 2.3.  b With no oil-filled bushings, oil-filled tap changers, or other oil-filled accessories that could increase the fire hazard.  c See also Section 2.2.3.4 for protection of combustibles other than transformer liquids.  d Section 3.3 describes FM Approved and equivalent transformers.  e Provide liquid spill containment in accordance with Section 2.2.1.4.  f Automatic sprinklers, foam-water sprinklers, or water mist. Also provide emergency drainage for sprinkler discharge per Section 2.2.1.5.  g Subdivide room or building with three-hour fire-rated construction for each transformer if multiple transformers are present. "
68, DS5-4 S2.2.1.2,2.2.1.2 Arrange transformer rooms to allow for direct access from outdoors.
69, DS5-4 S2.2.1.3,"2.2.1.3 Where three-hour fire-rated construction is recommended for transformer rooms with non-FM Approved fluids in Table 4, also protect exposed structural steel in accordance with Data Sheet 7-32, Ignitable Liquid Operations."
70, DS5-4 S2.2.1.4,"2.2.1.4 Provide containment and emergency drainage in accordance with Data Sheet 7-83, Drainage and Containment Systems for Ignitable Liquids. Where multiple oil-filled transformers are installed, provide individual containment for the contents of each transformer to prevent spills from flowing to other transformers or important equipment in the room."
71, DS5-4 S2.2.1.5,"2.2.1.5 Where a special protection system (e.g., foam-water sprinklers, compressed air foam, water mist) is provided for transformer protection in accordance with Section 2.2.3, design containment to hold the transformer liquid contents plus special protection system discharge for at least 20 minutes. Regardless of the calculated curb height, provide no less than 3 in (7.6 cm) of containment."
72, DS5-4 S2.2.1.6,"2.2.1.6 Locate transformers a minimum of 3 ft (0.9 m) from walls, or more as needed for maintenance access and ventilation requirements."
73, DS5-4 S2.2.1.7,"2.2.1.7 If transformer rooms contain liquid-filled transformers, arrange openings to be normally closed and provide FM Approved fire doors and/or fire shutters that have the same fire rating as the rest of the room."
74, DS5-4 S2.2.1.8,"2.2.1.8 Where conductors penetrate fire-rated construction in transformer rooms and detached buildings, use FM Approved fire stops with fire resistance equivalent to 1 hour or to the rating of the construction, whichever is greater."
75, DS5-4 S2.2.2,2.2.2 Occupancy
76, DS5-4 S2.2.2.1,2.2.2.1 Use dry-type or gas-insulated transformers if suitable for the application.
77, DS5-4 S2.2.2.2,"2.2.2.2 Limit the loading of combustible materials, including transformer fluids, plastics, and insulation on grouped electrical cables."
78, DS5-4 S2.2.2.3,"2.2.2.3 Where the surrounding occupancy could be exposed to nonthermal damage due to an indoor transformer fire, do one of the following:  A. Locate the transformers in rooms with suitable construction so the surrounding occupancy will not be exposed.  B. Equip the transformer room with a mechanical ventilation system designed to vent smoke to outdoors.  Provide power for the ventilation system from an emergency source that will not be deenergized as part of the pre-fire plan."
79, DS5-4 S2.2.2.4,"2.2.2.4 Install FM Approved smoke detection in transformer rooms, with alarms arranged to sound at a constantly attended location, regardless of any automatic sprinkler protection or heat detection that may also be provided. The presence or absence of smoke detectors does not change the need for sprinklers. Arrange smoke detection spacing in accordance with Data Sheet 5-48, Automatic Fire Detection."
80, DS5-4 S2.2.2.5,"2.2.2.5 In locations where dusty or corrosive atmospheres are or may be present, locate air-cooled transformers in a pressurized room. Also filter the cooling air and remove corrosive contaminants."
81, DS5-4 S2.2.3,2.2.3 Protection
82, DS5-4 S2.2.3.1,"2.2.3.1 Where sprinkler protection is recommended for transformer fluids per Table 4, provide one of the following designs:  A. For FM Approved transformer fluids, provide sprinkler protection with a design of 0.2 gpm/ft²(8 mm/min) over the entire room.  B. For transformers using non-FM Approved fluids, provide sprinkler protection in accordance with Data Sheet 7-32, Ignitable Liquid Operations. Also design containment and drainage in accordance with Data Sheet 7-32."
83, DS5-4 S2.2.3.2,"2.2.3.2 An FM Approved foam-water sprinkler system, or a water mist system is acceptable as an alternative to sprinkler protection for transformer liquids where recommended in Table 4.  A. Design the system per Data Sheet 7-32, Ignitable Liquid Operations, as well as Data Sheets 4-2, Water Mist Systems, or 4-12, Foam-water Sprinkler Systems, as applicable.  B. Design the duration of system water flow for a minimum of 60 minutes.  C. Design the foam concentrate supply to provide flow for a minimum of 30 minutes.  D. Provide an FM Approved water mist system for machinery spaces. Ensure the size of door openings into the room does not exceed the limitations of the Approval listing."
84, DS5-4 S2.2.3.3,"2.2.3.3 An FM Approved compressed air foam (CAF) system is acceptable to supplement a sprinkler/deluge system or as an alternative to emergency drainage for transformer liquids. Design the system per Data Sheet 7-32, Ignitable Liquid Operations."
85, DS5-4 S2.2.4,2.2.4 Human Factor
86, DS5-4 S2.2.4.1,2.2.4.1 Develop a pre-fire plan for transformer fire and electrical emergency response:  A. Prepare a documented procedure to promptly isolate the transformer equipment in order to expedite firefighting activities.  B. Train and authorize electrical personnel on each shift who will respond promptly to isolate the transformer for access by fire responders.
87, DS5-4 S2.2.4.2,2.2.4.2 Conduct transformer fire drills and review and update the pre-fire plan at least annually.
88, DS5-4 S2.2.5,2.2.5 Fire Protection for Transformer Production Test Areas
89, DS5-4 S2.2.5.1,2.2.5.1 Provide containment and emergency drainage for transformer production test areas. Size them in accordance with recommendations for indoor transformers (see Section 2.2.1) for the type of fluid and largest transformer fluid volumes to be tested.
90, DS5-4 S2.2.5.2,"2.2.5.2 Where non-FM Approved transformer fluids are present in the tested transformers, provide fire protection in accordance with Data Sheet 7-32, Ignitable Liquid Operations."
91, DS5-4 S2.3,2.3 Fire Protection for Outdoor Transformers
92, DS5-4 S2.3.1,"2.3.1 Location and Construction The separation distances and construction features recommended in this section are intended to be implemented together with spill containment. Alone, the recommended distances for liquid-filled transformers may not protect surrounding property from damage due to overpressure and rupture of transformer casings or bushings."
93, DS5-4 S2.3.1.1,2.3.1.1 Exposure Protection for Main Buildings
94, DS5-4 S2.3.1.1.1 F3 F4 T5 T6,"2.3.1.1.1 Provide any one of the following alternatives to protect exterior walls of main buildings against exposure to outdoor transformer fires:  A. Minimum separation distances based on the construction type and transformer fluid in accordance with Figure 3 and Table 5.  B. A 2-hour fire barrier of concrete block or reinforced concrete with separation distance and horizontal and vertical dimensions (X, Y, and Z, respectively) as shown in Figure 4 and Table 6.  C. At least 5 ft (1.5 m) separation with a 3-hour fire-rated barrier with the same horizontal and vertical extent as dimensions Y and Z in Table 6.  D. At least 5 ft (1.5 m) separation from fire-rated or noncombustible construction, plus water spray protection on the transformer in accordance with Section 2.3.2.  E. At least 5 ft (1.5 m) separation from the inside edge of the containment barrier, and water spray protection installed on the exposed building wall, over the same vertical and horizontal extent (coverage area) as dimensions Y and Z in Table 6. Design water spray in accordance with Section 2.3.2.  Exposed blank building wall  Transformer Main building Main building Containment Plan view Elevation view  X = Minimum separation distance from inside edge of containment to wall (see Table 5)  [file:///figure-5-4-3.png] Fig. 3. Minimum horizontal separation distance between outdoor liquid-insulated transformers and exposed walls of main buildings  Table 5. Separation for Exposure Protection of Main Building Walls (also refer to Figure 3)  [file:///table-5-4-5.png]  | | | Minimum Horizontal Distance from Containment | to Exposed Building Wall | (Dimension X in Figure 3) | | --- | --- | --- | --- | --- | | Fluid or Transformer Type | Fluid Volume, gal (m³) | 2-Hour Fire-rated Wall, ft (m) | Noncombustible Wall¹ ft (m) | Combustible Wall,¹ ft (m) | | FM Approved transformer | Per Approval Listing | 3 (0.9) | 3 (0.9) | 3 (0.9) | | FM Approved Liquid in non-Approved transformer | <10,000 (38) | 5 (1.5) | 5 (1.5) | 25 (7.6) | |  | >10,000 (38) | 15 (4.6) | 15 (4.6) | 50 (15.2) | | Non-Approved transformer liquid | <500 (1.9) | 5 (1.5) | 15 (4.6) | 25 (7.6) | |  | ≤5,000 (1.9-19) | 15 (4.6) | 25 (7.6) | 50 (15.2) | |  | >5,000 (19) | 25 (7.6) | 50 (15.2) | 100 (30.5) |  1 For definition of combustible and noncombustible construction materials, see Appendix of Data Sheet 1-1, Firesafe Building Construction and Materials  Exposed building wall  2 hr fire barrier with minimum 30 inch (0.75 m) parapet  Main building  Roof  Containment  Elevation view  Plan view  X, Y, Z = minimum dimensions - see Table 6  [file:///figure-5-4-4.png] Fig. 4. Use of 2-hour fire barriers and separation distances for protection of exposed main building walls  Table 6. Separation and Extent of 2-hour Fire Barriers for Protection of Main Building Walls (for dimensions refer to Figure 4)  [file:///table-5-4-6.png]   |     |     | Separation and | Extent of | 2-hour Fire Barrier | | --- | --- | -------------- | --------- | ------------------- | | Fluid Type | Fluid Volume gal (m³) | Dimension¹ ² (See Fig. 4) | Noncombustible Wall ft (m) | Combustible Wall³ ft (m) | | FM Approved transformer fluid | ≤10000 (38) | X | 5 (1.5) | 5 (1.5) | |  | | Y | 5 (1.5) | 25 (7.6) | |  | | Z | 25 (7.6) | 25 (7.6) | |  | >10000 (38) | X | 15 (4.6) | 15 (4.6) | |  | | Y | 15 (4.6) | 50 (15.2) | |  | | Z | 50 (15.2) | 50 (15.2) | | Non-Approved transformer fluid | <500 (1.9) | X | 5 (1.5) | 5 (1.5) | |  | | Y | 15 (4.6) | 25 (7.6) | |  | | Z | 25 (7.6) | 25 (7.6) | |  | ≤5000 (19) | X | 15 (4.6) | 15 4.6) | |  | | Y | 25 (7.6) | 50 (15.2) | |  | | Z | 50 (15.2) | 50 (15.2) | |  | >5000 (19) | X | 25 (7.6) | 25 (7.6) | |  | | Y | 50 (15.2) | 100 (30.5) | |  | | Z | 100 (30.5) | 100 (30.5) |  1 The X distances refer to minimum separation between the closest inside edge of the spill containment barrier area and the 2 hour fire barrier. These are the same as Table 5 for 2-hour fire-rated walls. Dimension Y is the horizontal extent of the barrier starting from the respective edge of containment.  2 Barrier vertical extent is dimension Z in the Table or the building height plus 30 in. (0.75 m) parapet, whichever is less.  3 For definitions of combustible and noncombustible construction materials, see Appendix A of DS 1-1, Firesafe Building Construction and Materials. "
95, DS5-4 S2.3.1.1.2 F5 T7,"2.3.1.1.2 Where exposure protection is provided per alternatives C, D, or E of 2.3.1.1.1, determine the extent of roof area exposed to excessive radiant heating, if any, using Figure 5 and Table 7.  3 hr barrier with minimum 30 inch (0.8 m) parapet  Exposed roof area  Main building with noncombustible roof  Containment  Elevation view Plan view  W = Horizontal distance of exposure from edge of containment, from Table 7.  X = Separation distance from barrier to inside edge of containment.  [file:///figure-5-4-5.png] Fig. 5. Determination of exposed roof area  Table 7. Transformer Fire Exposure to Noncombustible Building Roof Where Separation from Wall is Based on a 3-hour Fire Barrier or Water Spray Protection  | Liquid Type | Maximum Liquid Volume gal (m³) | Building Height, ft (m) | W (see Fig. 5) ft (m) | | ----------- | ------------------------------ | ----------------------- | --------------------- | | Non-Approved transformer fluid | <1000 (3.8) | Any | Not exposed | |  | Any | ≥50 (15) | Not exposed | |  | 1000-5000 (3.8-19) | ≥25 (7.5) | Not exposed | |  | | <25 (7.5) | 15 (4.5) | |  | >5000 (19) | <50 (15) | 25 (7.5) | "
96, DS5-4 S2.3.1.1.3,"2.3.1.1.3 Provide a Class A rating for external fire resistance over at least the section of the roof, if any, that is determined to be exposed per 2.3.1.1.2 and Table 7. (See Data Sheet 1-22, Max imum Foreseeable Loss, for description of Class A roof installations)."
97, DS5-4 S2.3.1.2,2.3.1.2 Exposure Protection from Roof-Mounted Transformers
98, DS5-4 S2.3.1.2.1,"2.3.1.2.1 If roof-top transformers use non-FM Approved fluids, locate the transformer away from walls of adjoining buildings with higher roofs in accordance with Section 2.3.1.1."
99, DS5-4 S2.3.1.2.2,"2.3.1.2.2 If roof-top transformers use non-FM Approved fluids, provide a Class A roof covering for at least the horizontal distance from the transformer specified for noncombustible construction in Table 5. (See Data Maximum Foreseeable Loss, for description of Class A roof installations.) Sheet 1-22,"
100, DS5-4 S2.3.1.3,"2.3.1.3 Exposure Protection for Outdoor Transformers and Other Equipment To protect transformers and other important equipment against exposure fire from adjacent transformers, provide separation, a fire barrier, or a water spray system in accordance with any one of the following three alternatives:"
101, DS5-4 S2.3.1.3.1 T8,"2.3.1.3.1 Provide separation distances for exposed transformers and other critical equipment in accordance with Table 8. Distances in Table 8 refer to the closest edge of containment.  Table 8. Minimum Separation Distances Between Adjacent Transformers  | Liquid Type | FM Approved Transformer? | Liquid Volume, gal (m³) | Distance,  ft (m) | | ----------- | ------------------------ | ----------------------- | ----------------- | | FM Approved Transformer Fluid | Yes | N/A | 3 (0.9) | |  | No | ≤10000 (38) | 5 (1.5) | |  | | >10000 (38) | 25 (7.6) | | Non-Approved Transformer Fluid | N/A | <500 (1.9) | 5 (1.5) | |  | | ≤5000 (19) | 25 (7.6) | |  | | >5000 (19) | 50 (15.2) | "
102, DS5-4 S2.3.1.3.2 F6,"2.3.1.3.2 Where the separation distances in Table 8 cannot be met, provide 2-hour fire-rated barriers between transformers as shown in Figure 6 and as follows:  A. Extend barriers 1 ft (0.3 m) vertically and 2 ft (0.6 m) horizontally beyond transformer components that could be pressurized as the result of an electrical fault, including bushings, pressure-relief vents, radiators, and tap changer enclosures.  B. Use of concrete block or reinforced concrete construction is preferred.  2 Hour rated fire barrier  Transformer  Containment  [file:///figure-5-4-6.png] Fig. 6. Fire barriers for multiple outdoor transformers"
103, DS5-4 S2.3.1.3.3,"2.3.1.3.3 For installations where the separation distances between transformers in Table 8 are not met and barriers are not provided, install water spray protection on each transformer in accordance with Section 2.3.2."
104, DS5-4 S2.3.1.4,2.3.1.4 Spill Containment and Emergency Drainage Spill containment requirements for environmental protection and related regulations are outside the scope of this data sheet.
105, DS5-4 S2.3.1.4.1,2.3.1.4.1 Provide outdoor liquid-filled transformers with spill containment if accidental release of the transformer fluid could expose a main building or adjacent equipment or storage to fire damage.
106, DS5-4 S2.3.1.4.2,2.3.1.4.2 Design the spill containment system in accordance with IEEE STD 980 (Guide for Containment and Control of Oil Spills in Substations) or equivalent standard.
107, DS5-4 S2.3.1.4.3,"2.3.1.4.3 Where water spray protection is provided for a transformer, provide containment with a capacity of at least a 60-minute discharge of fire hoses (500 gpm) plus the flow of the water spray system. Size the drainage and containment assuming adjacent water spray systems on both sides of an exposing transformer will operate simultaneously with the original activating system. Provide drainage in accordance with Data Sheet 7-83, Drainage Systems for Flammable Liquids."
108, DS5-4 S2.3.1.4.4,2.3.1.4.4 Provide a system for removal of rainwater from the containment area.
109, DS5-4 S2.3.1.4.5,"2.3.1.4.5 Extend the containment perimeter at least 5 ft (1.5 m) beyond fluid-containing components, including any external coolers, for transformers with up to 1,000 gal (3.8 m³); and 8 ft (2.4 m) for transformers with more than 1,000 gal (3.8 m³)."
110, DS5-4 S2.3.2,2.3.2 Active Protection for Outdoor Transformers
111, DS5-4 S2.3.2.1 F7 F8,"2.3.2.1 If automatic water spray exposure sprinkler protection is provided for outdoor transformers, design the system as follows:  A. Provide a discharge density of 0.3 gpm/ft² (12 mm/min) over transformer surfaces, except areas under the transformer, with equipment designed in accordance with Data Sheet 4-1N, Water Spray Fixed Systems, and Data Sheet 2-0, Installation of Sprinkler Systems.  B. Refer to Figures 7 and 8 for typical nozzle layouts.  C. Locate components of the water spray system (piping, spray nozzles, etc.) a minimum of 18 in. (45 cm) from the transformer.  D. Do not locate piping over the top of the transformer or tank relief vents.  E. Do not let nozzles spray onto bushings.  F. For multiple transformer installations, design the water spray system and water supply based on simultaneous operation of the water spray systems for the transformer of fire origin and adjacent transformers on each side.  [file:///figure-5-4-7.png] Fig. 7. Nozzle and piping arrangement for transformer using nozzles of ordinary capacity. Upper-level nozzle piping shown by solid line, lower level by dashed line. Both levels are the same distance from the transformer.  [file:///figure-5-4-8.png] Fig. 8. Nozzle and piping arrangement for transformer using large-capacity nozzles. Upper-level nozzle piping shown by solid line, lower level by dashed line. Both levels are the same distance from the transformer."
112, DS5-4 S2.3.2.2,"2.3.2.2 If automatic water spray is provided on the building wall for exposure protection (per Section 2.3.1.1.1[E]), design protection as follows:  A. Provide a density of 0.2 gpm/ft²(8 mm/min) over the coverage area.  B. Determine coverage (demand) area per Section 2.3.1.1.1(E).  C. Design for direct impingement application, or provide rundown application with a maximum distance of 10 ft (3 m) between levels.  D. Spacing between adjacent nozzles on each level per the manufacturer’s design tables.  E. Axial distance between nozzles and wall per the manufacturer’s design tables.  F. Water spray equipment designed in accordance with Data Sheet 4-1N, Water Spray Fixed Systems, and installed per Data Sheet 2-0, Installation of Sprinkler Systems."
113, DS5-4 S2.3.2.3,"2.3.2.3 Where transformers present an exposure to buildings or equipment, provide a hose stream allowance as follows:  A. Adequate for 1 hour hose stream demand of 250 gpm (950 L/min) for transformers holding FM Approved liquids or up to 1000 gal (3.8 m³) of mineral oil.  B. Adequate for 2 hour hose stream demand of 500 gpm (1900 L/min) hose stream for greater than 1000 gal (3.8 m³) of mineral oil in an individual transformer."
114, DS5-4 S2.3.3,2.3.3 Occupancy Adhere to the recommendations in Section 2.2.2.
115, DS5-4 S2.3.4,2.3.4 Human Factor Adhere to the recommendations in Section 2.2.4.
116, DS5-4 S2.4,2.4 Transformers Insulated with Liquids Containing Polychlorinated Biphenyls (PCBs)
117, DS5-4 S2.4.1,"2.4.1 Replace transformers with insulating liquid containing trace amounts up to 50 ppm PCBs in locations susceptible to nonthermal damage (hospitals, offices, residential, pharmaceutical manufacturing, food manufacturing and processing, etc.)."
118, DS5-4 S2.4.2,"2.4.2 Replace PCB-filled and PCB-contaminated transformers containing more than 50 ppm in industrial and commercial facilities that are not susceptible to nonthermal damage (e.g., machine shops and heavy manufacturing). Alternatively, flush and fill the transformers with PCB-free fluid. Use a competent and certified company to perform this work."
119, DS5-4 S2.4.2.1,"2.4.2.1 Every three years, test transformers that have been flushed and refilled with a replacement liquid to verify that PCB concentrations are below 50 ppm."
120, DS5-4 S2.4.3,2.4.3 Adhere to the following recommendations pending replacement of PCB-filled and PCB-contaminated transformers.
121, DS5-4 S2.4.3.1,"2.4.3.1 Develop a written emergency response plan to handle a PCB spill. Include the following information:  A. Availability of an emergency replacement power supply  B. Telephone numbers for critical facility staff, emergency response personnel, PCB handling and disposal companies, and, for clients, the local FM Global office  C. Telephone numbers of the appropriate authorities responsible for handling PCB contamination (in the United States this includes the National Spill Response Center and the nearest EPA office)"
122, DS5-4 S2.4.3.2,"2.4.3.2 Perform monthly visual inspections of transformers, including stored transformers, to check for leaks.  Repair any leaks immediately."
123, DS5-4 S2.4.3.3,"2.4.3.3 Seal floor drains exposed to a PCB spill, with the exception of drains leading to an oil-containment system for fire protection purposes."
124, DS5-4 S2.4.3.4,2.4.3.4 Do the following for PCB-filled or PCB-contaminated transformers located in open facility areas:  A. Provide a curbed area around each transformer or bank of transformers sufficient to contain liquid from the largest transformer.  B. Isolate PCB-contaminated transformers from hazardous processes or areas of combustible storage by means of one of the following:  1. A one-hour fire-rated barrier  2. A minimum 15 ft (5 m) separation distance free of combustibles
125, DS5-4 S2.4.3.5,2.4.3.5 Do the following for PCB-filled or PCB-contaminated transformers located within rooms:  A. Seal wall penetrations.  B. Exhaust air directly to the outside.  C. Keep the room free of combustibles.
126, DS5-4 S2.4.4,"2.4.4 Take the following precautions when replacing PCB-filled or PCB-contaminated transformers:  A. Develop a plan before moving PCB-filled equipment or containers to minimize exposure to plant areas and to prepare for a PCB spill.  B. Provide spill containment equipment such as plastic sheeting, oil-absorbent materials, and empty drums.  C. Drain PCB-contaminated liquid from transformers containing more than 100 gal (0.38 m³) before moving.  D. Pack drums containing PCB within a larger outer drum with absorbent material between the two drums.  E. Remove drums containing PCBs from main facility areas and dispose of them as soon as possible.  F. If PCB-filled drums are stored on site, locate the drums in detached, low-value buildings. Take the following precautions for onsite PCB storage:  1. Store the drums in rooms of noncombustible construction with noncombustible occupancy.  2. Provide a minimum 6 in. (15.2 cm) high curb around the drum storage sufficient to contain either twice the volume of the largest container or 25% of the volume of the PCB containers in the room, whichever is larger.  3. Ensure there are no drains within the curbed area.  4. Use an impervious material for the floor and curbing."
127, DS5-4 S2.4.5,"2.4.5 Use a competent, certified company to perform all PCB-related work."
128, DS5-4 S3.0,3.0 SUPPORT FOR RECOMMENDATIONS
129, DS5-4 S3.1,"3.1 Transformer Testing Diagnostics  The test limits discussed in this section are only general guidelines and should not be relied on to make important decisions. Better interpretation of test results can be obtained by comparing results from past tests, comparing test results with name plate information or with results from a family of similar equipment and observing trends.  Improved interpretation can also be obtained by looking at results from other relevant tests; for example, oil screen results should be checked if power factor measurements on a transformer are unexpectedly high.  Complementary tests should be performed to confirm a diagnosis. For example, frequency response analysis can be used to confirm if large changes in the capacitance measurement of a transformer is indicative of winding movement.  Do not rely on any single test to make an important decision.  The reference temperature is ideally taken as the rated temperature for each component as provided by the manufacturer. However, this is not always readily available. It is also acceptable to use the temperature of neighboring equipment or neighboring points on the transformer as a reference. For example, when evaluating the bushings, a good reference temperature would be the coolest bushing. And, when evaluating the radiator banks, a good reference point would be the temperature of the top of the transformer tank."
